key,en,es,fr,ar
reporting.narrow_analysis_to_specific_service_providers_or_t,Narrow analysis to specific service providers or types,Restringir análisis a proveedores o tipos de servicio específicos,Restreindre l'analyse à des prestataires ou types de services spécifiques,تضييق التحليل لمزودي الخدمة أو الأنواع المحددة
reporting.negative,Negative:,Negativo:,Négatif :,سلبي:
reporting.no_compliance_data_available,No compliance data available,No hay datos de cumplimiento disponibles,Aucune donnée de conformité disponible,لا تتوفر بيانات الالتزام
reporting.no_data,No data,Sin datos,Aucune donnée,لا توجد بيانات
reporting.no_data_available,No data available,No hay datos disponibles,Aucune donnée disponible,لا تتوفر بيانات
reporting.no_data_available_for_treemap,No data available for treemap,No hay datos disponibles para el treemap,Aucune donnée disponible pour le treemap,لا تتوفر بيانات للمخطط الشجري
reporting.no_distribution_data_available,No distribution data available,No hay datos de distribución disponibles,Aucune donnée de distribution disponible,لا تتوفر بيانات التوزيع
reporting.no_filters,No filters:,Sin filtros:,Aucun filtre :,لا توجد عوامل تصفية:
reporting.no_performance_data_available,No performance data available,No hay datos de rendimiento disponibles,Aucune donnée de performance disponible,لا تتوفر بيانات الأداء
reporting.no_shipment_data_available,No shipment data available,No hay datos de envíos disponibles,Aucune donnée d'expédition disponible,لا تتوفر بيانات الشحن
reporting.no_shipment_data_available_for_timeline,No shipment data available for timeline,No hay datos de envíos disponibles para la línea de tiempo,Aucune donnée d'expédition disponible pour la chronologie,لا تتوفر بيانات الشحن للجدول الزمني
reporting.no_underserved_cities,No underserved cities,No hay ciudades desatendidas,Aucune ville mal desservie,لا توجد مدن محرومة
reporting.no_weekly_data_available,No weekly data available,No hay datos semanales disponibles,Aucune donnée hebdomadaire disponible,لا تتوفر بيانات أسبوعية
reporting.on_time,On-Time %,% a tiempo,% à l'heure,النسبة في الوقت المحدد
reporting.openstreetmap,OpenStreetMap,OpenStreetMap,OpenStreetMap,OpenStreetMap
reporting.origin_city,Origin City,Ciudad de origen,Ville d'origine,مدينة المنشأ
reporting.origin_only,Origin only:,Solo origen:,Origine uniquement :,المنشأ فقط:
reporting.outb,Outb.,Sal.,Sortant,الصادر
reporting.outbound,Outbound %,% Saliente,Pourcentage sortant,نسبة الصادر
reporting.outbound_departures,Outbound (Departures),Salidas (Departures),Sortant (Départs),الصادر (المغادرات)
reporting.overall_compliance,Overall Compliance,Cumplimiento General,Conformité globale,الامتثال الكلي
reporting.overall_compliance_and_transit_time_metrics,Overall compliance and transit time metrics,Métricas generales de cumplimiento y tiempo de tránsito,Mesures de conformité globale et de temps de transit,مقاييس الامتثال الكلي ووقت العبور
reporting.percentage_of_shipments_delivered_successfully,Percentage of shipments delivered successfully,Porcentaje de envíos entregados con éxito,Pourcentage d'expéditions livrées avec succès,نسبة الشحنات التي تم تسليمها بنجاح
reporting.performance_distribution,Performance Distribution,Distribución del Rendimiento,Répartition des performances,توزيع الأداء
reporting.performance_metrics,Performance Metrics,Métricas de Rendimiento,Indicateurs de performance,مقاييس الأداء
reporting.performance_trend,Performance Trend,Tendencia de Rendimiento,Tendance des performances,اتجاه الأداء
reporting.population,Population:,Población:,Population :,السكان:
reporting.population_weighted,Population-weighted,Ponderado por población,Pondéré par la population,موزون حسب السكان
reporting.population_weighted_compliance,Population-Weighted Compliance,Cumplimiento ponderado por población,Conformité pondérée par la population,الامتثال الموزون حسب السكان
reporting.positive,Positive:,Positivo:,Positif :,إيجابي:
reporting.problem_routes,Problem Routes,Rutas problemáticas,Itinéraires problématiques,المسارات المشكلة
reporting.product,Product,Producto,Produit,المنتج
reporting.received_at,Received At,Recibido en,Reçu à,تم الاستلام في
reporting.region,Region:,Región:,Région :,المنطقة:
reporting.regional_analysis,Regional Analysis,Análisis Regional,Analyse régionale,التحليل الإقليمي
reporting.regional_equity_analysis_table,Regional Equity Analysis Table,Tabla de Análisis de Equidad Regional,Tableau d'analyse de l'équité régionale,جدول تحليل العدالة الإقليمية
reporting.regional_equity_comparison,Regional Equity Comparison,Comparación de Equidad Regional,Comparaison de l'équité régionale,مقارنة العدالة الإقليمية
reporting.regional_equity_comparison_chart,Regional Equity Comparison Chart,Gráfico de Comparación de Equidad Regional,Graphique de comparaison des capitaux propres régionaux,مخطط مقارنة الأسهم الإقليمية
reporting.regional_equity_details,Regional Equity Details,Detalles de Equidad Regional,Détails des capitaux propres régionaux,تفاصيل الأسهم الإقليمية
reporting.regional_summary,Regional Summary,Resumen Regional,Résumé régional,الملخص الإقليمي
reporting.regulatory_compliance_report,Regulatory Compliance Report,Informe de Cumplimiento Normativo,Rapport de conformité réglementaire,تقرير الامتثال التنظيمي
reporting.regulatory_use,Regulatory Use:,Uso Regulatorio:,Usage réglementaire :,الاستخدام التنظيمي:
reporting.reset_all_filters,Reset all filters,Restablecer todos los filtros,Réinitialiser tous les filtres,إعادة تعيين جميع الفلاتر
reporting.route,Route,Ruta,Itinéraire,المسار
reporting.route_level,Route Level:,Nivel de Ruta:,Niveau d’itinéraire :,مستوى المسار:
reporting.routes,Routes,Rutas,Itinéraires,المسارات
reporting.samples,Samples,Muestras,Échantillons,عينات
reporting.search_by_tag_id_origin_or_destination,"Search by TAG ID, origin, or destination...","Buscar por ID de ETIQUETA, origen o destino...","Rechercher par ID TAG, origine ou destination...",البحث بواسطة معرف العلامة، الأصل، أو الوجهة...
reporting.sent_at,Sent At,Enviado el,Envoyé le,تم الإرسال في
reporting.service_equity_index,Service Equity Index,Índice de Equidad de Servicio,Indice d’équité de service,مؤشر عدالة الخدمة
reporting.shipments,Shipments:,Envíos:,Expéditions :,الشحنات:
reporting.standard,Standard:,Estándar:,Norme :,المعيار:
reporting.standard_days,Standard (days),Estándar (días),Norme (jours),المعيار (أيام)
reporting.start_date,Start Date,Fecha de Inicio,Date de début,تاريخ البدء
reporting.status,Status:,Estado:,Statut :,الحالة:
reporting.std,Std %,% Estándar,% Std,النسبة المئوية للمعيار
reporting.table_view,Table View,Vista de Tabla,Vue tableau,عرض الجدول
reporting.tag_id,TAG ID,ID DE ETIQUETA,ID DE TAG,معرف العلامة
reporting.target_1_day,Target: 1 day,Objetivo: 1 día,Cible : 1 jour,الهدف: يوم واحد
reporting.territory_equity_filter_guide,Territory Equity Filter Guide,Guía del Filtro de Equidad Territorial,Guide du filtre d'équité territoriale,دليل تصفية حقوق الإقليم
reporting.territory_equity_report,Territory Equity Report,Informe de Equidad Territorial,Rapport d'équité territoriale,تقرير حقوق الإقليم
reporting.top_3_best_served_cities,Top 3 Best Served Cities,Las 3 Ciudades Mejor Atendidas,Top 3 des villes les mieux desservies,أفضل 3 مدن مخدومة
reporting.top_3_worst_served_cities,Top 3 Worst Served Cities,Las 3 Ciudades Peor Atendidas,Top 3 des villes les moins bien desservies,أسوأ 3 مدن مخدومة
reporting.total,Total:,Total:,Total :,الإجمالي:
reporting.total_cities,Total Cities:,Total de Ciudades:,Total des villes :,إجمالي المدن:
reporting.total_routes,Total Routes,Total de Rutas,Total des itinéraires,إجمالي المسارات
reporting.total_samples,Total Samples,Total de Muestras,Total des échantillons,إجمالي العينات
reporting.total_shipments,Total Shipments:,Total de Envíos:,Total des expéditions :,إجمالي الشحنات:
reporting.transit_time_analysis_and_delivery_performance_tra,Transit time analysis and delivery performance tracking,Análisis de tiempo de tránsito y seguimiento del rendimiento de entrega,Analyse du temps de transit et suivi des performances de livraison,تحليل وقت العبور وتتبع أداء التسليم
reporting.underserved,Underserved,Subatendido,Sous-desservi,غير مخدوم بشكل كافٍ
reporting.underserved_cities,Underserved Cities:,Ciudades Subatendidas:,Villes sous-desservies :,المدن غير المخدومة بشكل كافٍ:
reporting.view_overall_ecosystem_performance_across_all_rout,View overall ecosystem performance across all routes and carriers,Ver el rendimiento general del ecosistema en todas las rutas y transportistas,Voir la performance globale de l'écosystème sur tous les itinéraires et transporteurs,عرض أداء النظام البيئي العام عبر جميع المسارات والناقلين
reporting.view_overall_service_equity_across_all_cities_and_,View overall service equity across all cities and regions,Ver la equidad general del servicio en todas las ciudades y regiones,Voir l'équité globale du service sur toutes les villes et régions,عرض عدالة الخدمة العامة عبر جميع المدن والمناطق
reporting.warning,Warning,Advertencia,Avertissement,تحذير
reporting.warning_limit,Warning Limit:,Límite de Advertencia:,Limite d'avertissement :,حد التحذير:
reporting.warning_routes,Warning Routes,Rutas con Advertencia,Itinéraires en avertissement,مسارات التحذير
reporting.weekly_sample_volume,Weekly Sample Volume,Volumen Semanal de Muestras,Volume hebdomadaire d'échantillons,حجم العينات الأسبوعي
reporting.weighted_average_by_shipment_count,Weighted average by shipment count,Promedio ponderado por cantidad de envíos,Moyenne pondérée par nombre d'expéditions,المتوسط المرجح حسب عدد الشحنات
settings.account_management,Account Management,Gestión de cuentas,Gestion du compte,إدارة الحساب
settings.account_reporting_configuration,Account Reporting Configuration,Configuración de informes de cuenta,Configuration des rapports de compte,تكوين تقارير الحساب
settings.all_users,All Users,Todos los usuarios,Tous les utilisateurs,جميع المستخدمين
settings.capital,Capital,Capital,Capital,رأس المال
settings.changes_to_thresholds_will_affect_all_reporting_vi,Changes to thresholds will affect all reporting views,Los cambios en los umbrales afectarán todas las vistas de informes,Les modifications des seuils affecteront toutes les vues de rapport,التغييرات في الحدود ستؤثر على جميع طرق العرض في التقارير
settings.city_classifications,City Classifications,Clasificaciones de ciudades,Classifications des villes,تصنيفات المدينة
settings.city_classifications_override_default_classificati,City classifications override default classifications from the topology,Las clasificaciones de ciudades anulan las clasificaciones predeterminadas de la topología,Les classifications des villes remplacent les classifications par défaut de la topologie,تصنيفات المدينة تتجاوز التصنيفات الافتراضية من الطوبولوجيا
settings.city_name,City Name,Nombre de la ciudad,Nom de la ville,اسم المدينة
settings.classification,Classification,Clasificación,Classification,التصنيف
settings.compliance_critical_threshold,Compliance Critical Threshold,Umbral crítico de cumplimiento,Seuil critique de conformité,الحد الحرج للامتثال
settings.compliance_warning_threshold,Compliance Warning Threshold,Umbral de advertencia de cumplimiento,Seuil d'alerte de conformité,حد تحذير الامتثال
settings.configuration_notes,Configuration Notes:,Notas de configuración:,Notes de configuration :,ملاحظات التكوين:
settings.configuration_saved_successfully,Configuration saved successfully,Configuración guardada con éxito,Configuration enregistrée avec succès,تم حفظ التكوين بنجاح
settings.configure_reporting_thresholds_and_city_classifica,Configure reporting thresholds and city classifications for this account,Configurar umbrales de informes y clasificaciones de ciudades para esta cuenta,Configurer les seuils de rapport et les classifications des villes pour ce compte,تكوين حدود التقارير وتصنيفات المدينة لهذا الحساب
settings.create_account,Create Account,Crear cuenta,Créer un compte,إنشاء حساب
settings.create_user,Create User,Crear usuario,Créer un utilisateur,إنشاء مستخدم
settings.default_report_period,Default Report Period,Período de informe predeterminado,Période de rapport par défaut,فترة التقرير الافتراضية
settings.default_time_period_for_generating_reports,Default time period for generating reports,Período de tiempo predeterminado para generar informes,Période temporelle par défaut pour la génération des rapports,الفترة الزمنية الافتراضية لإنشاء التقارير
settings.error_saving_configuration,Error saving configuration,Error al guardar la configuración,Erreur lors de l'enregistrement de la configuration,خطأ في حفظ التكوين
settings.general_settings,General Settings,Configuración general,Paramètres généraux,الإعدادات العامة
settings.loading,Loading...,Cargando...,Chargement...,جارٍ التحميل...
settings.loading_configuration,Loading configuration...,Cargando configuración...,Chargement de la configuration...,جارٍ تحميل التكوين...
settings.major,Major,Principal,Majeur,رئيسي
settings.minor,Minor,Secundario,Mineur,ثانوي
settings.monthly,Monthly,Mensual,Mensuel,شهري
settings.no_city_classifications_found,No city classifications found,No se encontraron clasificaciones de ciudades,Aucune classification de ville trouvée,لم يتم العثور على تصنيفات مدن
settings.only_superadmin_users_can_modify_these_settings,Only superadmin users can modify these settings,Solo los usuarios superadministradores pueden modificar estas configuraciones,Seuls les utilisateurs superadmin peuvent modifier ces paramètres,يمكن فقط للمستخدمين المشرفين الأعلى تعديل هذه الإعدادات
settings.promise,Promise,Promesa,Promesse,الوعد
settings.quarterly,Quarterly,Trimestral,Trimestriel,ربع سنوي
settings.search_cities,Search cities...,Buscar ciudades...,Rechercher des villes...,ابحث عن المدن...
settings.warning_threshold_must_be_greater_than_critical_th,Warning threshold must be greater than critical threshold,El umbral de advertencia debe ser mayor que el umbral crítico,Le seuil d'alerte doit être supérieur au seuil critique,يجب أن يكون حد التحذير أكبر من حد الخطر
settings.weekly,Weekly,Semanal,Hebdomadaire,أسبوعي
stock.add_to_stock,Add to Stock,Agregar al stock,Ajouter au stock,إضافة إلى المخزون
stock.adjust_stock,Adjust Stock,Ajustar stock,Ajuster le stock,تعديل المخزون
stock.adjustment_note,Adjustment Note,Nota de ajuste,Note d'ajustement,ملاحظة التعديل
stock.alert_type,Alert Type,Tipo de alerta,Type d'alerte,نوع التنبيه
stock.all_materials,All Materials,Todos los materiales,Tous les matériaux,جميع المواد
stock.all_nodes,All Nodes,Todos los nodos,Tous les nœuds,جميع العقد
stock.all_panelists,All panelists,Todos los panelistas,Tous les panélistes,جميع الأعضاء
stock.all_status,All Status,Todos los estados,Tous les statuts,جميع الحالات
stock.all_statuses,All Statuses,Todos los estados,Tous les statuts,جميع الحالات
stock.all_types,All types,Todos los tipos,Tous les types,جميع الأنواع
stock.auto_generate_purchase_orders,Auto-generate Purchase Orders,Generar órdenes de compra automáticamente,Générer automatiquement les bons de commande,توليد أوامر الشراء تلقائيًا
stock.auto_generate_shipments,Auto-generate Shipments,Generar envíos automáticamente,Générer automatiquement les expéditions,توليد الشحنات تلقائيًا
stock.automation,Automation,Automatización,Automatisation,الأتمتة
stock.available_stock,Available Stock,Stock disponible,Stock disponible,المخزون المتاح
stock.calculate_generate_shipments,Calculate & Generate Shipments,Calcular y generar envíos,Calculer et générer les expéditions,حساب وتوليد الشحنات
stock.calculate_requirements,Calculate Requirements,Calcular requisitos,Calculer les besoins,حساب المتطلبات
stock.cancelled,Cancelled,Cancelado,Annulé,ملغى
stock.change,Change:,Cambiar:,Modifier :,تغيير:
stock.clear_filters,Clear Filters,Borrar filtros,Effacer les filtres,مسح الفلاتر
stock.clear_filters_to_see_all_alerts,Clear filters to see all alerts,Borre los filtros para ver todas las alertas,Effacez les filtres pour voir toutes les alertes,امسح الفلاتر لعرض جميع التنبيهات
stock.confirm_order,Confirm Order,Confirmar pedido,Confirmer la commande,تأكيد الطلب
stock.confirm_receipt,Confirm Receipt,Confirmar recepción,Confirmer la réception,تأكيد الاستلام
stock.confirm_shipment,Confirm Shipment,Confirmar envío,Confirmer l'expédition,تأكيد الشحنة
stock.confirmed_shipments,Confirmed Shipments,Envíos confirmados,Expéditions confirmées,الشحنات المؤكدة
stock.current_quantity,Current Quantity,Cantidad actual,Quantité actuelle,الكمية الحالية
stock.current_stock,Current Stock,Stock actual,Stock actuel,المخزون الحالي
stock.date,Date,Fecha,Date,التاريخ
stock.edit_quantity,Edit quantity,Editar cantidad,Modifier la quantité,تعديل الكمية
stock.edit_shipment_quantity,Edit Shipment Quantity,Editar cantidad de envío,Modifier la quantité d'expédition,تعديل كمية الشحنة
stock.enable_stock_control,Enable Stock Control,Habilitar control de stock,Activer le contrôle des stocks,تمكين التحكم في المخزون
stock.end_date,End Date,Fecha de finalización,Date de fin,تاريخ الانتهاء
stock.enter_new_absolute_quantity,Enter new absolute quantity,Ingrese nueva cantidad absoluta,Saisir une nouvelle quantité absolue,أدخل كمية مطلقة جديدة
stock.expected,Expected,Esperado,Prévu,متوقع
stock.expected_date,Expected Date,Fecha esperada,Date prévue,تاريخ المتوقع
stock.explain_the_reason_for_this_adjustment,Explain the reason for this adjustment...,Explique la razón de este ajuste...,Expliquez la raison de cet ajustement...,اشرح سبب هذا التعديل...
stock.export_csv,Export CSV,Exportar CSV,Exporter CSV,تصدير CSV
stock.filters,Filters,Filtros,Filtres,مرشحات
stock.from,From,Desde,De,من
stock.last_updated,Last Updated,Última actualización,Dernière mise à jour,آخر تحديث
stock.lead_times,Lead Times,Tiempos de entrega,Délais de livraison,أوقات التنفيذ
stock.loading_alerts,Loading alerts...,Cargando alertas...,Chargement des alertes...,جارٍ تحميل التنبيهات...
stock.loading_movements,Loading movements...,Cargando movimientos...,Chargement des mouvements...,جارٍ تحميل الحركات...
stock.loading_panelist_stock,Loading panelist stock...,Cargando stock del panelista...,Chargement du stock des panélistes...,جارٍ تحميل مخزون المشاركين...
stock.loading_settings,Loading settings...,Cargando configuraciones...,Chargement des paramètres...,جارٍ تحميل الإعدادات...
stock.loading_stock,Loading stock...,Cargando stock...,Chargement du stock...,جارٍ تحميل المخزون...
stock.location,Location,Ubicación,Emplacement,الموقع
stock.low_stock,Low Stock,Stock bajo,Stock faible,مخزون منخفض
stock.low_stock_only,Low Stock Only,Solo bajo stock,Stock faible uniquement,المخزون المنخفض فقط
stock.material,Material,Material,Matériel,المادة
stock.materials,Materials,Materiales,Matériels,المواد
stock.materials_to_send,Materials to Send,Materiales para enviar,Matériels à envoyer,المواد للإرسال
stock.metrics_overview,Metrics Overview,Resumen de métricas,Aperçu des métriques,نظرة عامة على المقاييس
stock.minimum,Minimum,Mínimo,Minimum,الحد الأدنى
stock.movement_type,Movement Type,Tipo de movimiento,Type de mouvement,نوع الحركة
stock.net_quantity,Net Quantity,Cantidad neta,Quantité nette,الكمية الصافية
stock.new_quantity,New Quantity,Cantidad nueva,Nouvelle quantité,الكمية الجديدة
stock.no_stock_alerts_found,No stock alerts found,No se encontraron alertas de stock,Aucune alerte de stock trouvée,لم يتم العثور على تنبيهات مخزون
stock.no_stock_records_found,No stock records found,No se encontraron registros de stock,Aucun enregistrement de stock trouvé,لم يتم العثور على سجلات مخزون
stock.node,Node,Nodo,Nœud,العقدة
stock.normal,Normal,Normal,Normal,عادي
stock.not_applicable_purchase_orders_are_not_used,Not applicable - Purchase orders are not used,No aplicable - No se utilizan órdenes de compra,Non applicable - les commandes d'achat ne sont pas utilisées,غير قابل للتطبيق - لا يتم استخدام أوامر الشراء
stock.notes,Notes,Notas,Notes,ملاحظات
stock.order,Order,Orden,Commande,الطلب
stock.order_material,Order Material,Material de orden,Matériel de commande,طلب المادة
stock.ordered,Ordered,Ordenado,Commandé,تم الطلب
stock.packing_list_pdf,Packing List PDF,Lista de empaque PDF,Liste de colisage PDF,قائمة التعبئة PDF
stock.panelist,Panelist,Panelista,Panéliste,المشارك في اللجنة
stock.panelist_negative,Panelist Negative,Panelista Negativo,Panéliste Négatif,المشارك سلبي
stock.pending,Pending,Pendiente,En attente,قيد الانتظار
stock.pending_requirements,Pending Requirements,Requisitos Pendientes,Exigences en attente,المتطلبات المعلقة
stock.pending_shipments,Pending Shipments,Envíos Pendientes,Expéditions en attente,الشحنات المعلقة
stock.period,Period,Período,Période,الفترة
stock.promise,Promise,Compromiso,Engagement,الوعد
stock.purchase_lead_time_days,Purchase Lead Time (days),Plazo de Compra (días),Délai d'achat (jours),مدة الشراء (أيام)
stock.purchase_order_pdf,Purchase Order PDF,PDF de Orden de Compra,Bon de commande PDF,طلب الشراء بصيغة PDF
stock.quantity,Quantity,Cantidad,Quantité,الكمية
stock.quantity_needed,Quantity Needed,Cantidad Necesaria,Quantité nécessaire,الكمية المطلوبة
stock.quantity_ordered,Quantity Ordered,Cantidad Ordenada,Quantité commandée,الكمية المطلوبة في الطلب
stock.quantity_received,Quantity Received,Cantidad Recibida,Quantité reçue,الكمية المستلمة
stock.quantity_to_order,Quantity to Order,Cantidad a Ordenar,Quantité à commander,الكمية للطلب
stock.quantity_to_send,Quantity to Send,Cantidad a Enviar,Quantité à envoyer,الكمية للإرسال
stock.quick_month_selection,Quick Month Selection,Selección Rápida de Mes,Sélection rapide du mois,اختيار سريع للشهر
stock.receive,Receive,Recibir,Recevoir,استلام
stock.receive_purchase_order,Receive Purchase Order,Recibir Orden de Compra,Recevoir le bon de commande,استلام طلب الشراء
stock.received,Received,Recibido,Reçu,تم الاستلام
stock.regulator_insufficient,Regulator Insufficient,Regulador Insuficiente,Régulateur insuffisant,المُنظِّم غير كافٍ
stock.removed_materials_will_create_new_pending_shipment,Removed Materials (Will Create New Pending Shipment),Materiales Eliminados (Se Creará un Nuevo Envío Pendiente),Matériaux retirés (créera une nouvelle expédition en attente),المواد المُزالة (سيتم إنشاء شحنة معلقة جديدة)
stock.reset_filters,Reset Filters,Restablecer filtros,Réinitialiser les filtres,إعادة تعيين الفلاتر
stock.restore,Restore,Restaurar,Restaurer,استعادة
stock.search_by_material_or_code,Search by material or code...,Buscar por material o código...,Rechercher par matériau ou code...,البحث حسب المادة أو الرمز...
stock.search_by_material_or_panelist,Search by material or panelist...,Buscar por material o panelista...,Rechercher par matériau ou panéliste...,البحث حسب المادة أو المشارك...
stock.search_material,Search material...,Buscar material...,Rechercher matériau...,البحث عن مادة...
stock.send,Send,Enviar,Envoyer,إرسال
stock.sent,Sent,Enviado,Envoyé,تم الإرسال
stock.sent_date,Sent Date,Fecha de envío,Date d'envoi,تاريخ الإرسال
stock.shipment,Shipment #,Número de envío,N° d'expédition,رقم الشحنة
stock.shipment_lead_time_days,Shipment Lead Time (days),Plazo de envío (días),Délai d'expédition (jours),مدة تسليم الشحنة (أيام)
stock.shipments,Shipments,Envíos,Expéditions,الشحنات
stock.showing,Showing,Mostrando,Affichage,عرض
stock.start_date,Start Date,Fecha de inicio,Date de début,تاريخ البدء
stock.stock_alert,Stock Alert,Alerta de stock,Alerte de stock,تنبيه المخزون
stock.stock_control,Stock Control,Control de stock,Contrôle des stocks,مراقبة المخزون
stock.stock_status,Stock Status,Estado de stock,Statut du stock,حالة المخزون
stock.this_feature_is_not_available_in_the_current_versi,This feature is not available in the current version of the module.,Esta función no está disponible en la versión actual del módulo.,Cette fonctionnalité n'est pas disponible dans la version actuelle du module.,هذه الميزة غير متوفرة في النسخة الحالية من الوحدة.
stock.total_items_pending,Total Items Pending,Total de artículos pendientes,Total des articles en attente,إجمالي العناصر المعلقة
stock.total_movements,Total movements:,Total de movimientos:,Total des mouvements :,إجمالي الحركات:
stock.total_records,Total records:,Total de registros:,Total des enregistrements :,إجمالي السجلات:
stock.type,Type,Tipo,Type,النوع
stock.unit,Unit,Unidad,Unité,الوحدة
stock.unknown_panelist,Unknown Panelist,Panelista desconocido,Panéliste inconnu,مشارك غير معروف
stock.used_to_calculate_expected_delivery_dates,Used to calculate expected delivery dates,Utilizado para calcular fechas de entrega esperadas,Utilisé pour calculer les dates de livraison prévues,تُستخدم لحساب تواريخ التسليم المتوقعة
stock.year,Year,Año,Année,السنة
stockmanagement.stock_alerts,Stock Alerts,Alertas de stock,Alertes de stock,تنبيهات المخزون
stockmanagement.stock_management_alerts,Stock Management & Alerts,Gestión y alertas de stock,Gestion des stocks et alertes,إدارة وتنبيهات المخزون
stockmanagement.tabs,Tabs,Pestañas,Onglets,علامات التبويب
topology.3_7038,-3.7038,-3.7038,"-3,7038",-3.7038
topology.40_4168,40.4168,40.4168,"40,4168",40.4168
topology.city,City,Ciudad,Ville,المدينة
topology.city_code,City Code *,Código de ciudad *,Code postal *,رمز المدينة *
topology.city_name,City Name *,Nombre de la ciudad *,Nom de la ville *,اسم المدينة *
topology.country_code,Country Code *,Código de país *,Code pays *,رمز الدولة *
topology.delete_city,Delete city,Eliminar ciudad,Supprimer la ville,حذف المدينة
topology.delete_node,Delete node,Eliminar nodo,Supprimer le nœud,حذف العقدة
topology.delete_region,Delete region,Eliminar región,Supprimer la région,حذف المنطقة
topology.description,Description,Descripción,Description,الوصف
topology.e_g_3200000,"e.g., 3200000","p. ej., 3200000","ex., 3200000",مثال: 3200000
topology.e_g_es_fr,"e.g., ES, FR","p. ej., ES, FR","ex., ES, FR",مثال: ES، FR
topology.e_g_mad_bcn,"e.g., MAD, BCN","p. ej., MAD, BCN","ex., MAD, BCN",على سبيل المثال، MAD، BCN
topology.e_g_madrid_barcelona,"e.g., Madrid, Barcelona","p. ej., Madrid, Barcelona","ex., Madrid, Barcelone",على سبيل المثال، مدريد، برشلونة
topology.e_g_spain_france,"e.g., Spain, France","p. ej., España, Francia","ex., Espagne, France",على سبيل المثال، إسبانيا، فرنسا
topology.edit_city,Edit city,Editar ciudad,Modifier la ville,تعديل المدينة
topology.edit_node,Edit node,Editar nodo,Modifier le nœud,تعديل العقدة
topology.edit_region,Edit region,Editar región,Modifier la région,تعديل المنطقة
topology.expand_all_cities_in_this_region,Expand all cities in this region,Expandir todas las ciudades en esta región,Développer toutes les villes de cette région,توسيع جميع المدن في هذه المنطقة
topology.latitude,Latitude,Latitud,Latitude,خط العرض
topology.longitude,Longitude,Longitud,Longitude,خط الطول
topology.no_cities_in_this_region_yet,No cities in this region yet,Aún no hay ciudades en esta región,Aucune ville dans cette région pour le moment,لا توجد مدن في هذه المنطقة بعد
topology.no_nodes_in_this_city_yet,No nodes in this city yet,Aún no hay nodos en esta ciudad,Aucun nœud dans cette ville pour le moment,لا توجد عقد في هذه المدينة بعد
topology.node,Node,Nodo,Nœud,العقدة
topology.panelist_assigned,Panelist Assigned,Panelista asignado,Panéliste assigné,المشارك المعين
topology.pending_panelist,Pending Panelist,Panelista pendiente,Panéliste en attente,المشارك المعلق
topology.population,Population,Población,Population,السكان
topology.promise,Promise,Promesa,Promesse,الوعد
topology.region_code,Region Code *,Código de región *,Code de région *,رمز المنطقة *
topology.region_name,Region Name *,Nombre de la región *,Nom de la région *,اسم المنطقة *
topology.status,Status *,Estado *,Statut *,الحالة *
topology.total_population_of_the_city_used_for_impact_analy,Total population of the city (used for impact analysis in reporting),Población total de la ciudad (utilizada para análisis de impacto en informes),Population totale de la ville (utilisée pour l’analyse d’impact dans les rapports),إجمالي سكان المدينة (يُستخدم لتحليل التأثير في التقارير)
users.account,Account,Cuenta,Compte,الحساب
users.deactivate,Deactivate,Desactivar,Désactiver,تعطيل
users.email,Email,Correo electrónico,Email,البريد الإلكتروني
users.full_name,Full Name,Nombre completo,Nom complet,الاسم الكامل
users.name,Name,Nombre,Nom,الاسم
users.no_users_found,No users found,No se encontraron usuarios,Aucun utilisateur trouvé,لم يتم العثور على مستخدمين
users.password,Password,Contraseña,Mot de passe,كلمة المرور
users.promise,Promise,Promesa,Promesse,الوعد
users.role,Role,Rol,Rôle,الدور
users.select_account,Select account,Seleccionar cuenta,Sélectionner un compte,اختر حسابًا
